Date,Client,Type,Invoice #,Weight (g),Rate (THB/g),Amount (THB)
2025-12-15,Jedi,SELL,UP20250386,100,4373,437300
2025-12-11,Royal,SELL,UP20250385,100,4344,434400
2025-12-11,Oriantal,BUY,IV2512006,613.27,4311.038,2643830.27
2025-12-10,Jedi,SELL,UP20250383,100,4316,431600
2025-12-10,Saraff,SELL,UP20250384,200,4305,861000
2025-12-09,Royal,SELL,UP20250382,100,4320,432000
2025-12-08,White Rock,SELL,UP20250381,140,4329.5,606130
2025-12-08,Gemshine,SELL,UP20250380,75,4323,324225
2025-12-08,Oriantal,BUY,IV251209008,463.09,4210.988,1950066.43
2025-12-08,Almond,BUY,168-000034,979.27,4305,4215757.35
2025-12-07,Jedi,SELL,UP20250378,200,4319,863800
2025-12-07,Oriantal,SELL,UP20250379,979.96,4311,4224607.56
2025-12-04,Purity,SELL,UP20250377,500,4280,2140000
2025-12-03,Oriantal,BUY,IV251204016,680.56,4365.06,2970685.23
2025-12-02,Gold Jewelry,SELL,UP20250376,25,4365,109125
2025-12-01,Creative,SELL,UP20250375,40,4335,173400
2025-12-01,Jedi,SELL,UP20250373,200,4373,874600
2025-12-01,Oriantal,BUY,IV251202006,1200.95,4327.504,5197115.93
2025-12-01,Royal,SELL,UP20250374,250,4365,1091250
2025-11-30,Rewa,SELL,UP20250370,65,4379.5,284667.5
2025-11-30,Anan,SELL,UP20250371,500,4387,2193500
2025-11-30,Kaa,SELL,UP20250372,500,4376.94,2188470
2025-11-27,Royal,SELL,UP20250368,30,4335,130050
2025-11-27,Creative,SELL,UP20250369,80,4320,345600
2025-11-26,Facets,SELL,UP20250366,309.01,4308,1331215.08
2025-11-26,Rewa,SELL,UP20250365,60,4318,259080
2025-11-26,Creative,SELL,UP20250367,70,4305,301350
2025-11-26,White Rock,SELL,UP20250364,40,4332,173280
2025-11-25,Ahura,SELL,UP20250362,23,4322,99406
2025-11-25,Oriantal,BUY,IV251126019,653.73,4305.217,2814449.51
2025-11-24,Royal,SELL,UP20250360,140,4322,605080
2025-11-24,Oriantal,BUY,IV251125005,1117.68,4227.971,4725518.63
2025-11-24,Anan,SELL,UP20250361,500,4322,2161000
2025-11-23,Rewa,SELL,UP20250356,100,4247,424700
2025-11-23,Saraff,SELL,UP20250358,150,4214,632100
2025-11-23,Jedi,SELL,UP20250357,200,4237,847400
2025-11-23,White Rock,SELL,UP20250359,100,4275,427500
2025-11-20,Oriantal,SELL,UP20250355,2900,4229.346,12265103.4
2025-11-20,Anan,SELL,UP20250353,500,4250,2125000
2025-11-20,Royal,SELL,UP20250354,90,4250,382500
2025-11-20,GDL,BUY,1155/2025/00,3000,4214,12642000
2025-11-17,Rewa,SELL,UP20250352,51,4202,214302
2025-11-17,Royal,SELL,UP20250351,140,4219,590660
2025-11-12,Oriantal,BUY,IV251113004,154.56,4163.179,643460.95
2025-11-11,Royal,SELL,UP20250350,40,4212,168480
